0	CD
0001	CD
0003	CD
0007	CD
001	CD
001,000	CD
002	CD
003	CD
004	CD
005	CD
006	CD
007	CD
008	CD
01	CD
01,050	CD
01.00	CD
01.3	CD
01.4	CD
011	CD
012	CD
013	CD
02	CD
0203	CD
021	CD
022	CD
025055	CD
027	CD
03	CD
031	CD
032	CD
034,000	CD
035	CD
036	CD
036086	CD
04	CD
0408	CD
045	CD
04833280	CD
05	CD
0507	CD
051	CD
052	CD
053	CD
057	CD
0591	CD
06	CD
061	CD
067	CD
067008	CD
07	CD
0781	CD
08	CD
081	CD
085	CD
0891	CD
09	CD
098891	CD
0991	CD
0998	CD
099891	CD
1	CD
1,000	CD
1,005	CD
1,008	CD
1,053	CD
1,350	CD
1,500	CD
1,509	CD
1,776	CD
1,800	CD
1,875	CD
1,900	CD
1.1	CD
1.2	CD
1.2.19	CD
1.3	CD
1.4	CD
1.6	CD
1.6.90	CD
1.73	CD
10	CD
10,000	CD
10.3	CD
10.6	CD
100	CD
100,000	CD
10000	CD
101	CD
10117	CD
104	CD
104.90	CD
11	CD
11,005	CD
110	CD
111	CD
112,000	CD
112.90	CD
1151	CD
119	CD
119.90	CD
12	CD
120	CD
126	CD
129.90	CD
13	CD
13,095	CD
13.00	CD
13.11	CD
13.90	CD
131	CD
14	CD
14.3.89	CD
14.46	CD
1400	CD
141	CD
14132830	CD
1430	CD
149	CD
15	CD
15.459.00	CD
150	CD
150,000	CD
1500	CD
15716281	CD
16	CD
16.11	CD
16.30	CD
161351	CD
1630	CD
1691	CD
17	CD
1791	CD
18	CD
18.6	CD
180	CD
19	CD
19.1	CD
19.9	CD
1969	CD
1975	CD
1977	CD
1985	CD
1986	CD
1988	CD
1989	CD
1990	CD
1991	CD
1994	CD
2	CD
2,000	CD
2,004	CD
2,132	CD
2,162	CD
2,200	CD
2,500	CD
2,734	CD
2.1	CD
2.2	CD
2.5	CD
2.6	CD
2.7	CD
2.81	CD
20	CD
20.00	CD
20.1	CD
20.30	CD
200	CD
200,000	CD
2000	CD
201	CD
209,000	CD
21	CD
21.9	CD
211	CD
2151	CD
21PLIWN	ZVL
22	CD
22.5	CD
22051	CD
221	CD
23	CD
23.90	CD
2371	CD
2391	CD
24	CD
24.90	CD
25	CD
25,000	CD
25.11	CD
25.90	CD
251	CD
2551	CD
257.5958	CD
26	CD
261	CD
27	CD
27.40	CD
27.90	CD
2791	CD
28	CD
280	CD
2891	CD
29	CD
29.9	CD
29.90	CD
2991	CD
3	CD
3,000	CD
3,086	CD
3,100	CD
3,247	CD
3,512	CD
3,825	CD
3.1	CD
3.23	CD
3.7	CD
30	CD
300,000	CD
301	CD
31	CD
31.3.90	CD
31.5	CD
311	CD
32	CD
32.40	CD
3271	CD
33	CD
33.90	CD
34	CD
34,028	CD
34.90	CD
341	CD
345,000	CD
35.5	CD
350,000	CD
354	CD
36	CD
36.4	CD
37	CD
37.40	CD
3791	CD
38	CD
38.27	CD
385	CD
4	CD
4,000	CD
4,509	CD
4,677	CD
4.00	CD
4.2	CD
400	CD
400,000	CD
41	CD
411	CD
42	CD
42.02	CD
43	CD
4391	CD
44	CD
442	CD
45	CD
4500	CD
451	CD
4591	CD
46	CD
461	CD
4691	CD
47	CD
486	CD
4891	CD
49	CD
49.80	CD
49.90	CD
496	CD
5	CD
5,000	CD
5,191	CD
5,779	CD
5,836	CD
5.0	CD
5.1	CD
5.11.90	CD
5.22	CD
5.4	CD
5.5	CD
5.6.67	CD
5.63	CD
50	CD
500	CD
5000	CD
501	CD
505	CD
509	CD
51	CD
5102	CD
5107	CD
511	CD
5111	CD
516	CD
519	CD
51P6ARBEIM	ZVL
52	CD
52.05	CD
5203	CD
